Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,AS,ANBA,DPOY,RPOY,SPOY,MIP,MVP
28,DEN,C,35,35,897,13.8,0.554,0.026,0.371,10.6,22.6,16.4,2.7,0.8,3.6,14.8,15.3,0.9,0.9,1.8,0.096,-1.9,-0.1,-1.9,0,0,0,0,0,0,0,0
28,CLE,C,46,45,1148,18.7,0.621,0,0.389,11.4,20.4,15.9,5.6,0.8,3.9,15,18.1,2.5,1.3,3.9,0.161,0.4,-0.1,0.3,0.7,0,0,0,0,0,0,0
24,HOU,PF,71,62,2037,14.4,0.553,0.19,0.237,7.4,15.4,11.4,10.8,1.4,1.3,13.7,19.1,2.4,2.3,4.7,0.11,-0.4,-0.1,-0.5,0.8,0,0,0,0,0,0,0
28,CHO,PF,78,37,2035,11.8,0.541,0.535,0.176,3.1,18.2,10.4,7.8,1.8,1.4,10.1,13.3,1.5,2.9,4.3,0.102,-1.4,1.4,0,1,0,0,0,0,0,0,0
23,2TM,PG,63,61,2035,17.1,0.543,0.361,0.251,1.6,12,6.8,27.4,2.3,0.4,16.1,25.9,2,2.5,4.5,0.106,1.9,-0.3,1.6,1.9,0,0,0,0,0,0,0
23,MIL,PG,52,52,1688,18.5,0.556,0.341,0.26,1.8,13.1,7.5,28.6,2.5,0.5,16.7,26.6,2,2.4,4.4,0.124,2.5,0,2.5,1.9,0,0,0,0,0,0,0
23,PHO,SG,11,9,347,10.5,0.472,0.469,0.203,0.6,6.7,3.6,21.6,0.9,0.2,12.9,22.6,0,0.1,0.1,0.016,-1.2,-1.7,-2.9,-0.1,0,0,0,0,0,0,0
23,SAS,SF,64,64,2033,22,0.567,0.234,0.307,4.8,20.6,12.9,13,3.7,1.8,9.4,23,4.2,4.4,8.6,0.204,2.8,3.1,5.9,4.1,0,0,1,0,0,0,0
28,POR,SG,60,60,2024,16.1,0.586,0.592,0.193,2.1,9.5,5.9,10.8,1.9,0.4,9,19.8,4,2.2,6.2,0.147,2,1.1,3.1,2.6,0,0,0,0,0,0,0
26,NOP,SG,61,60,2018,12.7,0.544,0.454,0.192,1.6,7.4,4.5,17.6,1.3,0.5,14,19.8,2.2,0.7,2.9,0.069,0.2,-1.2,-1,0.5,0,0,0,0,0,0,0
28,2TM,PG,68,68,2018,13.5,0.448,0.133,0.121,3.9,16.4,10.1,39.3,2.3,0.3,23.6,19.5,-0.7,2.3,1.6,0.037,-1.1,0.3,-0.8,0.6,0,0,0,0,0,0,0
28,BOS,PG,22,22,699,15.4,0.422,0.16,0.18,3.9,22.3,12.9,49.3,2.7,0.3,25.8,18.2,-0.2,1.1,0.9,0.064,-0.5,0.9,0.4,0.4,0,0,0,0,0,0,0
28,DAL,PG,46,46,1319,12.4,0.46,0.121,0.094,4,13.3,8.6,34,2.1,0.2,22.6,20.3,-0.5,1.2,0.6,0.023,-1.4,-0.1,-1.5,0.2,0,0,0,0,0,0,0
28,TOR,SG,80,0,2016,19.9,0.564,0.482,0.426,1.4,7.3,4.3,13.6,2.3,0.4,8.4,27,5.4,1.1,6.6,0.157,3.5,-0.9,2.6,2.3,0,0,0,0,1,0,0
24,SAC,C,59,59,2013,25.2,0.545,0.008,0.508,10.8,30.6,21.1,20.4,2.3,4,16.3,34.1,2.8,3.2,6,0.144,2.8,1.5,4.3,3.2,1,1,0,0,0,0,0
30,CHO,C,65,61,1992,19.7,0.5,0.005,0.163,5.3,25.5,15.1,11.6,1.2,3.3,5.9,26.3,1.3,3.4,4.7,0.113,0.9,0.7,1.6,1.8,0,0,0,0,0,0,0
28,TOR,PG,82,29,1991,12.6,0.514,0.484,0.091,1.3,11.2,6.3,23.9,1.2,0.4,13.6,19.8,1.9,0.9,2.8,0.066,0.4,-1.4,-1,0.5,0,0,0,0,0,0,0
28,SAC,PF,81,63,1991,10.2,0.5,0.002,0.334,8.2,21.5,15.1,6.5,0.8,2.3,14.6,12.7,0.9,1.5,2.4,0.057,-2.6,-0.2,-2.8,-0.4,0,0,0,0,0,0,0
32,SAS,PF,81,15,1984,12.7,0.526,0.267,0.147,4.5,15.2,10,17.9,0.9,0.9,15.8,18.3,1.3,2.3,3.6,0.088,-0.6,0.2,-0.4,0.8,0,0,0,0,0,0,0
28,NOP,C,76,76,1982,15.5,0.545,0,0.546,14,28.8,21.4,5.4,0.8,2.1,15.7,14,2.8,2.2,5,0.12,-0.4,-0.9,-1.2,0.4,0,0,0,0,0,0,0
32,2TM,PG,68,33,1980,15.4,0.512,0.405,0.217,1.2,8.9,4.9,37.4,1.2,0.6,15.4,25.2,1.6,0.6,2.1,0.052,1.5,-2.3,-0.8,0.6,0,0,0,0,0,0,0
